,City,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date
341,Hobyo,80.01,5.35,48.53,74,76,29.82,SO,1594833712
342,Back Mountain,86.0,41.34,-76.0,48,0,1.99,US,1594833712
343,Srednekolymsk,40.28,67.45,153.68,70,62,3.31,RU,1594833712
344,Batagay,49.5,67.63,134.63,66,0,4.63,RU,1594833713
345,Tigre,59.0,-34.43,-58.58,35,0,4.7,AR,1594833713
346,Vila Velha,69.8,-20.33,-40.29,94,90,8.05,BR,1594833713
347,Nome,50.0,64.5,-165.41,87,90,6.93,US,1594833713
348,Siilinjärvi,68.0,63.08,27.67,49,46,4.7,FI,1594833714
349,Zheleznodorozhnyy,62.01,55.75,38.0,93,75,8.95,RU,1594833714
350,Sydney Mines,55.0,46.24,-60.22,100,90,14.99,CA,1594833714
351,Aguié,90.32,13.51,7.78,41,64,6.13,NE,1594833714
352,Arraial do Cabo,69.8,-22.97,-42.03,64,75,6.93,BR,1594833648
353,Kharagauli,75.2,42.02,43.2,78,75,10.29,GE,1594833715
354,Xining,59.56,36.62,101.77,82,100,5.75,CN,1594833445
355,Mtsamboro,77.0,-12.7,45.07,73,75,14.99,YT,1594833715
356,Markova,75.2,48.68,24.41,44,70,6.71,UA,1594833715
357,Māngrol,80.83,21.12,70.12,85,100,6.26,IN,1594833716
358,Katsuura,64.4,35.13,140.3,100,75,14.99,JP,1594833716
359,Belyy Yar,55.4,53.6,91.39,76,3,6.71,RU,1594833716
360,Husavik,53.6,66.04,-17.34,93,75,11.41,IS,1594833716
361,Kiryat Gat,84.99,31.61,34.76,62,0,9.98,IL,1594833689
362,Isangel,71.85,-19.55,169.27,84,2,2.17,VU,1594833717
363,Porto-Novo,78.8,6.5,2.6,83,40,13.87,BJ,1594833717
364,Beijing,88.0,39.91,116.4,65,0,6.53,CN,1594833431
365,Lorengau,81.28,-2.02,147.27,69,58,4.61,PG,1594833717
366,Bairiki Village,80.6,1.33,172.98,88,75,4.7,KI,1594833718
367,Lichtenau,66.99,51.62,8.9,48,40,6.93,DE,1594833718
368,Pacific Grove,62.01,36.62,-121.92,82,90,3.36,US,1594833652
369,Mil'kovo,58.28,54.72,158.62,82,91,1.25,RU,1594833718
370,Marsá Maţrūḩ,78.03,31.35,27.25,67,0,7.29,EG,1594833656
371,Mahon,77.0,39.89,4.27,61,20,10.29,ES,1594833718
